"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
2;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
3;"Ref**";"Version1.0.0.";1;"Val**";;;
4;",,,,,,";"buzzardLabel";7;"";;;
5;"G***";"Logo-Front-Soldered-5mm";1;"LOGO";;;
6;"G***";"Symbol-Front-Battery";1;"LOGO";;;
7;"K4";"HEADER_MALE_2X1";1;"HEADER_MALE_2X1";;;
8;"U2";"TSSOP8";1;"FS8205A";;;
9;"U1";"Sot23-6";1;"DW01-G(SOT23-6)";;;
10;"R3";"0603R";1;"100R";;;
11;"R2";"0603R";1;"1k";;;
12;"R1";"0402R";1;"2k2";;;
13;"K3";"JST-2pin-SMD";1;"JST-2pin-SMD";;;
14;"K2,K1";"HEADER_MALE_1X1";2;"HEADER_MALE_1X1";;;
15;"JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
16;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
17;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
18;"D1";"0402LED";1;"purple";;;
19;"C1";"0603C";1;"0.1uF";;;
